"Country","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","CasePer1M","Continent"
"China",82692,325,4632,1290,"77994",57,"Asia"
"USA",709735,32165,37154,2535,"60510",2144,"North America"
"Spain",190839,5891,20002,687,"74797",4082,"Europe"
"Italy",172434,3493,22745,575,"42727",2852,"Europe"
"France",147969,1909,18681,761,"34420",2267,"Europe"
"Germany",141397,3699,4352,300,"83114",1688,"Europe"
"UK",108692,5599,14576,847,"N/A",1601,"Europe"
"Iran",79494,1499,4958,89,"54064",946,"Asia"
"Turkey",78546,4353,1769,126,"8631",931,"Asia"
"Belgium",36138,1329,5163,306,"7961",3118,"Europe"
"Brazil",33682,2999,2141,194,"14026",158,"South America"
"Russia",32008,4070,273,41,"2590",219,"Europe"
"Canada",31927,1821,1310,115,"10543",846,"North America"
"Netherlands",30449,1235,3459,144,"250",1777,"Europe"
"Switzerland",27078,346,1327,46,"16400",3129,"Europe"
"Portugal",19022,181,657,28,"519",1866,"Europe"
"Austria",14595,119,431,21,"9704",1621,"Europe"
"India",14352,922,486,38,"2041",10,"Asia"
"Ireland",13980,709,530,44,"77",2831,"Europe"
"Peru",13489,998,300,26,"6541",409,"South America"
"Sweden",13216,676,1400,67,"550",1309,"Europe"
"Israel",12982,224,151,9,"3126",1500,"Asia"
"S. Korea",10635,22,230,1,"7829",207,"Asia"
"Japan",9787,556,190,NA,"935",77,"Asia"
"Chile",9252,445,116,11,"3621",484,"South America"
"Ecuador",8450,225,421,18,"838",479,"South America"
"Poland",8379,461,332,18,"866",221,"Europe"
"Romania",8067,360,411,19,"1508",419,"Europe"
"Saudi Arabia",7142,762,87,4,"1049",205,"Asia"
"Denmark",7073,194,336,15,"3389",1221,"Europe"
"Pakistan",7025,106,135,7,"1765",32,"Asia"
"Norway",6937,32,161,9,"32",1280,"Europe"
"Czechia",6549,116,173,4,"1174",612,"Europe"
"Australia",6533,65,65,2,"3821",256,"Australia/Oceania"
"UAE",6302,477,37,2,"1188",637,"Asia"
"Mexico",6297,450,486,37,"2125",49,"North America"
"Indonesia",5923,407,520,24,"607",22,"Asia"
"Philippines",5878,218,387,25,"487",54,"Asia"
"Serbia",5690,372,110,7,"534",651,"Europe"
"Malaysia",5251,69,86,2,"2967",162,"Asia"
"Singapore",5050,623,11,1,"708",863,"Asia"
"Belarus",4779,575,42,2,"342",506,"Europe"
"Qatar",4663,560,7,NA,"464",1619,"Asia"
"Ukraine",4662,501,125,9,"246",107,"Europe"
"Dominican Republic",4126,371,200,4,"268",380,"North America"
"Panama",4016,265,109,6,"98",931,"North America"
"Finland",3489,120,82,7,"1700",630,"Europe"
"Luxembourg",3480,36,72,3,"579",5559,"Europe"
"Colombia",3439,206,153,9,"634",68,"South America"
"Egypt",2844,171,205,9,"646",28,"Africa"
"South Africa",2783,178,50,2,"903",47,"Africa"
"Thailand",2700,28,47,1,"1689",39,"Asia"
"Argentina",2669,NA,123,1,"666",59,"South America"
"Morocco",2564,281,135,5,"281",69,"Africa"
"Algeria",2418,150,364,16,"846",55,"Africa"
"Moldova",2264,110,56,2,"276",561,"Europe"
"Greece",2224,17,108,3,"269",213,"Europe"
"Bangladesh",1838,266,75,15,"58",11,"Asia"
"Croatia",1814,23,36,1,"600",442,"Europe"
"Hungary",1763,111,156,14,"207",182,"Europe"
"Iceland",1754,15,9,1,"1224",5140,"Europe"
"Bahrain",1740,40,7,NA,"725",1023,"Asia"
"Kuwait",1658,134,5,2,"258",388,"Asia"
"Kazakhstan",1546,144,17,NA,"347",82,"Asia"
"Iraq",1482,48,81,1,"906",37,"Asia"
"Estonia",1459,25,38,2,"145",1100,"Europe"
"New Zealand",1409,8,11,2,"816",292,"Australia/Oceania"
"Uzbekistan",1405,56,4,NA,"156",42,"Asia"
"Azerbaijan",1340,57,15,NA,"528",132,"Asia"
"Slovenia",1304,36,66,5,"174",627,"Europe"
"Bosnia and Herzegovina",1214,47,46,3,"320",370,"Europe"
"Armenia",1201,42,19,1,"402",405,"Asia"
"Lithuania",1149,21,33,1,"210",422,"Europe"
"North Macedonia",1117,36,49,3,"139",536,"Europe"
"Oman",1069,50,6,2,"176",209,"Asia"
"Slovakia",1049,72,9,1,"175",192,"Europe"
"Hong Kong",1022,4,4,NA,"533",136,"Asia"
"Cameroon",996,NA,22,NA,"164",38,"Africa"
"Cuba",923,61,31,4,"192",81,"North America"
"Afghanistan",906,66,30,NA,"99",23,"Asia"
"Tunisia",864,42,37,NA,"43",73,"Africa"
"Bulgaria",846,46,41,3,"141",122,"Europe"
"Cyprus",750,15,12,NA,"77",621,"Asia"
"Djibouti",732,141,2,NA,"76",741,"Africa"
"Andorra",696,23,35,2,"191",9008,"Europe"
"Ivory Coast",688,34,6,NA,"193",26,"Africa"
"Latvia",682,7,5,NA,"88",362,"Europe"
"Lebanon",668,5,21,NA,"86",98,"Asia"
"Costa Rica",649,7,4,NA,"88",127,"North America"
"Ghana",641,NA,8,NA,"83",21,"Africa"
"Niger",627,43,18,4,"110",26,"Africa"
"Burkina Faso",557,11,35,3,"294",27,"Africa"
"Albania",539,21,26,NA,"283",187,"Europe"
"Uruguay",502,NA,9,NA,"286",145,"South America"
"Nigeria",493,51,17,4,"159",2,"Africa"
"Kyrgyzstan",489,23,5,NA,"114",75,"Asia"
"Guinea",477,39,3,2,"59",36,"Africa"
"Channel Islands",470,13,20,1,"73",2703,"Europe"
"Bolivia",465,24,31,2,"26",40,"South America"
"Honduras",442,16,41,6,"10",45,"North America"
"San Marino",435,9,39,1,"57",12820,"Europe"
"Malta",422,10,3,NA,"91",956,"Europe"
"Jordan",407,5,7,NA,"265",40,"Asia"
"Palestine",402,28,2,NA,"69",79,"Asia"
"Reunion",402,8,NA,NA,"237",449,"Africa"
"Taiwan",395,NA,6,NA,"166",17,"Asia"
"Georgia",370,22,3,NA,"79",93,"Asia"
"Senegal",342,7,2,NA,"198",20,"Africa"
"Mauritius",324,NA,9,NA,"108",255,"Africa"
"Montenegro",303,NA,5,1,"55",482,"Europe"
"Isle of Man",291,7,4,NA,"169",3422,"Europe"
"DRC",287,20,23,1,"25",3,"Africa"
"Vietnam",268,NA,NA,NA,"198",3,"Asia"
"Kenya",246,12,11,NA,"53",5,"Africa"
"Mayotte",245,12,4,1,"117",898,"Africa"
"Sri Lanka",244,6,7,NA,"77",11,"Asia"
"Guatemala",214,18,7,2,"21",12,"North America"
"Venezuela",204,NA,9,NA,"111",7,"South America"
"Paraguay",199,25,8,NA,"30",28,"South America"
"Faeroe Islands",184,NA,NA,NA,"171",3766,"Europe"
"El Salvador",177,13,7,1,"38",27,"North America"
"Mali",171,NA,13,NA,"34",8,"Africa"
"Martinique",158,NA,8,NA,"73",421,"North America"
"Tanzania",147,53,5,1,"11",2,"Africa"
"Guadeloupe",145,NA,8,NA,"67",362,"North America"
"Congo",143,26,6,1,"11",26,"Africa"
"Jamaica",143,NA,5,NA,"25",48,"North America"
"Rwanda",143,5,NA,NA,"65",11,"Africa"
"Brunei",136,NA,1,NA,"112",311,"Asia"
"Gibraltar",132,1,NA,NA,"105",3918,"Europe"
"Cambodia",122,NA,NA,NA,"98",7,"Asia"
"Madagascar",117,6,NA,NA,"33",4,"Africa"
"Somalia",116,36,6,1,"2",7,"Africa"
"Trinidad and Tobago",114,NA,8,NA,"20",81,"North America"
"Gabon",108,28,1,NA,"7",49,"Africa"
"Ethiopia",96,4,3,NA,"15",0.8,"Africa"
"Aruba",96,1,2,NA,"43",899,"North America"
"French Guiana",96,10,NA,NA,"61",321,"South America"
"Monaco",94,1,3,NA,"20",2395,"Europe"
"Myanmar",88,3,4,NA,"5",2,"Asia"
"Bermuda",83,2,5,NA,"35",1333,"North America"
"Togo",83,2,5,NA,"48",10,"Africa"
"Liechtenstein",79,NA,1,NA,"55",2072,"Europe"
"Equatorial Guinea",79,28,NA,NA,"4",56,"Africa"
"Liberia",76,17,7,1,"7",15,"Africa"
"Barbados",75,NA,5,NA,"15",261,"North America"
"Guyana",63,8,6,NA,"9",80,"South America"
"Cayman Islands",61,1,1,NA,"7",928,"North America"
"Sint Maarten",57,NA,9,NA,"12",1329,"North America"
"Cabo Verde",56,NA,1,NA,"1",101,"Africa"
"French Polynesia",55,NA,NA,NA,"",196,"Australia/Oceania"
"Uganda",55,NA,NA,NA,"20",1,"Africa"
"Bahamas",54,1,9,1,"9",137,"North America"
"Zambia",52,4,2,NA,"30",3,"Africa"
"Libya",49,NA,1,NA,"11",7,"Africa"
"Macao",45,NA,NA,NA,"16",69,"Asia"
"Haiti",43,2,3,NA,"",4,"North America"
"Guinea-Bissau",43,NA,NA,NA,"",22,"Africa"
"Syria",38,5,2,NA,"5",2,"Asia"
"Saint Martin",35,NA,2,NA,"13",905,"North America"
"Benin",35,NA,1,NA,"18",3,"Africa"
"Eritrea",35,NA,NA,NA,"",10,"Africa"
"Mozambique",34,3,NA,NA,"2",1,"Africa"
"Sudan",33,1,6,1,"4",0.8,"Africa"
"Mongolia",31,NA,NA,NA,"5",9,"Asia"
"Nepal",30,14,NA,NA,"2",1,"Asia"
"Maldives",29,4,NA,NA,"16",54,"Asia"
"Chad",27,NA,NA,NA,"5",2,"Africa"
"Sierra Leone",26,11,NA,NA,"",3,"Africa"
"Zimbabwe",24,1,3,NA,"2",2,"Africa"
"Antigua and Barbuda",23,NA,3,NA,"3",235,"North America"
"Angola",19,NA,2,NA,"5",0.6,"Africa"
"Laos",19,NA,NA,NA,"2",3,"Asia"
"Belize",18,NA,2,NA,"",45,"North America"
"New Caledonia",18,NA,NA,NA,"14",63,"Australia/Oceania"
"Timor-Leste",18,NA,NA,NA,"1",14,"Asia"
"Malawi",17,1,2,NA,"3",0.9,"Africa"
"Fiji",17,NA,NA,NA,"",19,"Australia/Oceania"
"Eswatini",16,NA,1,NA,"8",14,"Africa"
"Dominica",16,NA,NA,NA,"8",222,"North America"
"Namibia",16,NA,NA,NA,"4",6,"Africa"
"Botswana",15,NA,1,NA,"",6,"Africa"
"Saint Lucia",15,NA,NA,NA,"11",82,"North America"
"Curacao",14,NA,1,NA,"10",85,"North America"
"Grenada",14,NA,NA,NA,"6",124,"North America"
"Saint Kitts and Nevis",14,NA,NA,NA,"",263,"North America"
"CAR",12,NA,NA,NA,"4",2,"Africa"
"St. Vincent Grenadines",12,NA,NA,NA,"1",108,"North America"
"Turks and Caicos",11,NA,1,NA,"",284,"North America"
"Falkland Islands",11,NA,NA,NA,"1",3161,"South America"
"Greenland",11,NA,NA,NA,"11",194,"North America"
"Montserrat",11,NA,NA,NA,"1",2204,"North America"
"Seychelles",11,NA,NA,NA,"5",112,"Africa"
"Suriname",10,NA,1,NA,"6",17,"South America"
"MS Zaandam",9,NA,2,NA,"",NA,""
"Gambia",9,NA,1,NA,"2",4,"Africa"
"Nicaragua",9,NA,1,NA,"4",1,"North America"
"Vatican City",8,NA,NA,NA,"2",9988,"Europe"
"Mauritania",7,NA,1,NA,"2",2,"Africa"
"Papua New Guinea",7,NA,NA,NA,"",0.8,"Australia/Oceania"
"St. Barth",6,NA,NA,NA,"4",607,"North America"
"Western Sahara",6,NA,NA,NA,"",10,"Africa"
"Burundi",5,NA,1,NA,"",0.4,"Africa"
"Bhutan",5,NA,NA,NA,"2",6,"Asia"
"British Virgin Islands",4,1,NA,NA,"2",132,"North America"
"Sao Tome and Principe",4,NA,NA,NA,"",18,"Africa"
"South Sudan",4,NA,NA,NA,"",0.4,"Africa"
"Anguilla",3,NA,NA,NA,"1",200,"North America"
"Caribbean Netherlands",3,NA,NA,NA,"",114,"North America"
"Saint Pierre Miquelon",1,NA,NA,NA,"",173,"North America"
"Yemen",1,NA,NA,NA,"",0.03,"Asia"
